Sentence #,Word,Tag
Sentence: 1,christian,e-1-b
Sentence: 1,is,o
Sentence: 1,paralyzed,r-b
Sentence: 1,by,r-i
Sentence: 1,an,o
Sentence: 1,accident,e-2-b
Sentence: 1,.,o
Sentence: 2,the,o
Sentence: 2,temple,e-1-b
Sentence: 2,is,o
Sentence: 2,set,r-b
Sentence: 2,on,r-i
Sentence: 2,fire,e-2-b
Sentence: 2,.,o
Sentence: 3,sebastian,e-1-b
Sentence: 3,maniscalco,e-1-i
Sentence: 3,was,o
Sentence: 3,part,r-b
Sentence: 3,of,r-i
Sentence: 3,the,o
Sentence: 3,cast,e-2-b
Sentence: 3,.,o
Sentence: 4,Paul,e-1-b
Sentence: 4,just,o
Sentence: 4,made,r-b
Sentence: 4,a,o
Sentence: 4,film,e-2-b
Sentence: 4,.,o
Sentence: 5,robbie,e-1-b
Sentence: 5,robertson,e-1-i
Sentence: 5,supervised,r-b
Sentence: 5,the,o
Sentence: 5,soundtrack,e-2-b
Sentence: 5,.,o
Sentence: 6,The,o
Sentence: 6,song,e-1-b
Sentence: 6,features,r-b
Sentence: 6,the,o
Sentence: 6,original,e-2-b
Sentence: 6,music,e-2-i
Sentence: 6,tracks,e-2-i
Sentence: 6,.,o
Sentence: 7,military,e-1-b
Sentence: 7,forces,e-1-i
Sentence: 7,are,o
Sentence: 7,tasked,r-b
Sentence: 7,with,o
Sentence: 7,the,o
Sentence: 7,evacuation,e-2-b
Sentence: 7,.,o
Sentence: 8,singer,e-1-b
Sentence: 8,did,o
Sentence: 8,not,r-b
Sentence: 8,direct,r-i
Sentence: 8,the,o
Sentence: 8,sequel,e-2-b
Sentence: 8,x-men,e-2-i
Sentence: 9,jessica,e-1-b
Sentence: 9,chastain,e-1-i
Sentence: 9,was,o
Sentence: 9,also,o
Sentence: 9,casted,r-b
Sentence: 9,for,r-i
Sentence: 9,the,o
Sentence: 9,same,o
Sentence: 9,character,e-2-b
Sentence: 9,.,o
Sentence: 10,mauro,e-1-b
Sentence: 10,fiore,e-1-i
Sentence: 10,served,r-b
Sentence: 10,as,r-i
Sentence: 10,cinematographer,e-2-b
Sentence: 10,.,o
Sentence: 11,filming,e-1-b
Sentence: 11,was,o
Sentence: 11,completed,r-b
Sentence: 11,by,r-i
Sentence: 11,october,e-2-b
Sentence: 12,the,o
Sentence: 12,soundtrack,e-1-b
Sentence: 12,was,o
Sentence: 12,released,r-b
Sentence: 12,digitally,r-i
Sentence: 12,on,o
Sentence: 12,june,e-2-b
Sentence: 12,7,e-2-i
Sentence: 13,the,o
Sentence: 13,album,e-1-b
Sentence: 13,was,o
Sentence: 13,released,r-b
Sentence: 13,digitally,r-i
Sentence: 13,on,o
Sentence: 13,august,e-2-b
Sentence: 13,2,e-2-i
Sentence: 14,the,o
Sentence: 14,film,e-1-b
Sentence: 14,is,o
Sentence: 14,distributed,r-b
Sentence: 14,by,r-i
Sentence: 14,walt,e-2-b
Sentence: 14,disney,e-2-i
Sentence: 14,studios,e-2-i
Sentence: 14,motion,e-2-i
Sentence: 14,pictures,e-2-i
Sentence: 14,.,o
Sentence: 15,vivienne,e-1-b
Sentence: 15,graham,e-1-i
Sentence: 15,approached,r-b
Sentence: 15,former,o
Sentence: 15,employee,e-2-b
Sentence: 15,.,o
Sentence: 16,joe,e-1-b
Sentence: 16,morton,e-1-i
Sentence: 16,plays,r-b
Sentence: 16,as,r-i
Sentence: 16,an,o
Sentence: 16,older,e-2-b
Sentence: 16,dr,e-2-i
Sentence: 16,.,o
Sentence: 17,Protagonist,e-1-b
Sentence: 17,empathises,r-b
Sentence: 17,with,r-i
Sentence: 17,godzilla,e-2-b
Sentence: 17,.,o
Sentence: 18,the,o
Sentence: 18,researchers,e-1-b
Sentence: 18,discovered,r-b
Sentence: 18,the,o
Sentence: 18,treatment,e-2-b
Sentence: 18,.,o
Sentence: 19,the,o
Sentence: 19,script,e-1-b
Sentence: 19,was,o
Sentence: 19,completed,r-b
Sentence: 19,in,o
Sentence: 19,a,o
Sentence: 19,year,e-2-b
Sentence: 20,The,o
Sentence: 20,stuntman,e-1-b
Sentence: 20,replaced,r-b
Sentence: 20,the,o
Sentence: 20,actor,e-2-b
Sentence: 20,.,o
Sentence: 21,the,o
Sentence: 21,main,e-1-b
Sentence: 21,theatrical,e-1-i
Sentence: 21,poster,e-1-i
Sentence: 21,was,o
Sentence: 21,released,r-b
Sentence: 21,online,e-2-b
Sentence: 21,.,o
Sentence: 22,Home,e-1-b
Sentence: 22,Alone,e-1-i
Sentence: 22,was,o
Sentence: 22,released,r-b
Sentence: 22,on,r-i
Sentence: 22,8th,e-2-b
Sentence: 22,June,e-2-i
Sentence: 22,2018,e-2-i
Sentence: 23,the,o
Sentence: 23,4k,e-1-b
Sentence: 23,release,e-1-i
Sentence: 23,includes,r-b
Sentence: 23,hdr10,e-2-b
Sentence: 23,.,o
Sentence: 24,the,o
Sentence: 24,retail,e-1-b
Sentence: 24,exclusives,e-1-i
Sentence: 24,will,o
Sentence: 24,also,o
Sentence: 24,include,r-b
Sentence: 24,special,e-2-b
Sentence: 24,files,e-2-i
Sentence: 24,.,o
Sentence: 25,The,o
Sentence: 25,movie,e-1-b
Sentence: 25,had,r-b
Sentence: 25,an,o
Sentence: 25,interesting,e-2-b
Sentence: 25,twist,e-2-i
Sentence: 25,.,o
Sentence: 26,Ghost,e-1-b
Sentence: 26,are,o
Sentence: 26,often,o
Sentence: 26,prevalent,r-b
Sentence: 26,in,o
Sentence: 26,typical,o
Sentence: 26,horror,e-2-b
Sentence: 26,films,e-2-i
Sentence: 27,the,o
Sentence: 27,producer,e-1-b
Sentence: 27,also,o
Sentence: 27,supervises,r-b
Sentence: 27,the,o
Sentence: 27,"pre-production,",e-2-b
Sentence: 27,of,o
Sentence: 27,filmmaking,o
Sentence: 27,.,o
Sentence: 28,"finally,",o
Sentence: 28,the,o
Sentence: 28,producer,e-1-b
Sentence: 28,will,o
Sentence: 28,oversee,r-b
Sentence: 28,the,o
Sentence: 28,marketing,e-2-b
Sentence: 28,.,o
Sentence: 29,Actor,e-1-b
Sentence: 29,enters,r-b
Sentence: 29,the,o
Sentence: 29,sophie's,e-2-b
Sentence: 29,apartment,e-2-i
Sentence: 29,.,o
Sentence: 30,Most,o
Sentence: 30,film,e-1-b
Sentence: 30,directors,e-1-i
Sentence: 30,have,o
Sentence: 30,attended,r-b
Sentence: 30,a,o
Sentence: 30,film,e-2-b
Sentence: 30,school,e-2-i
Sentence: 30,.,o
Sentence: 31,directors,e-1-b
Sentence: 31,use,r-b
Sentence: 31,different,e-2-b
Sentence: 31,approaches,e-2-i
Sentence: 31,.,o
Sentence: 32,some,e-1-b
Sentence: 32,directors,e-1-i
Sentence: 32,also,o
Sentence: 32,take,r-b
Sentence: 32,on,r-i
Sentence: 32,additional,e-2-b
Sentence: 32,"roles,",e-2-i
Sentence: 32,.,o
Sentence: 33,a,o
Sentence: 33,full,e-1-b
Sentence: 33,degree,e-1-i
Sentence: 33,course,e-1-i
Sentence: 33,can,o
