Sentence #,Word,Tag
Sentence: 0,The,e-1-b
Sentence: 0,conviction,e-1-i
Sentence: 0,stemmed,r-b
Sentence: 0,from,o
Sentence: 0,federal,e-2-b
Sentence: 0,charges,e-2-i
Sentence: 0,of,o
Sentence: 0,consumer,o
Sentence: 0,fraud,o
Sentence: 0,for,o
Sentence: 0,sale,o
Sentence: 0,of,o
Sentence: 0,phony,o
Sentence: 0,infant,o
Sentence: 0,apple,o
Sentence: 0,juice,o
Sentence: 0,between,o
Sentence: 0,1978,o
Sentence: 0,and,o
Sentence: 0,1983,o
Sentence: 0,.,o
Sentence: 1,Mrs.,e-1-b
Sentence: 1,Marcos,e-1-i
Sentence: 1,has,r-b
Sentence: 1,n't,r-i
Sentence: 1,admitted,r-i
Sentence: 1,that,e-2-b
Sentence: 1,she,e-2-i
Sentence: 1,filed,e-2-i
Sentence: 1,any,e-2-i
Sentence: 1,documents,e-2-i
Sentence: 1,such,e-2-i
Sentence: 1,as,e-2-i
Sentence: 1,those,e-2-i
Sentence: 1,sought,e-2-i
Sentence: 1,by,e-2-i
Sentence: 1,the,e-2-i
Sentence: 1,government,e-2-i
Sentence: 1,.,o
Sentence: 2,Mrs.,e-1-b
Sentence: 2,Marcos,e-1-i
Sentence: 2,has,o
Sentence: 2,n't,o
Sentence: 2,admitted,o
Sentence: 2,that,o
Sentence: 2,she,o
Sentence: 2,filed,r-b
Sentence: 2,any,e-2-b
Sentence: 2,documents,e-2-i
Sentence: 2,such,e-2-i
Sentence: 2,as,e-2-i
Sentence: 2,those,e-2-i
Sentence: 2,sought,e-2-i
Sentence: 2,by,e-2-i
Sentence: 2,the,e-2-i
Sentence: 2,government,e-2-i
Sentence: 2,.,o
Sentence: 3,The,e-1-b
Sentence: 3,issue,e-1-i
Sentence: 3,is,o
Sentence: 3,backed,r-b
Sentence: 3,by,o
Sentence: 3,a,e-2-b
Sentence: 3,12,e-2-i
Sentence: 3,%,e-2-i
Sentence: 3,letter,e-2-i
Sentence: 3,of,e-2-i
Sentence: 3,credit,e-2-i
Sentence: 3,from,e-2-i
Sentence: 3,Credit,e-2-i
Sentence: 3,Suisse,e-2-i
Sentence: 3,.,o
Sentence: 4,The,e-1-b
Sentence: 4,executives,e-1-i
Sentence: 4,had,o
Sentence: 4,profited,o
Sentence: 4,handsomely,o
Sentence: 4,by,o
Sentence: 4,building,r-b
Sentence: 4,American,e-2-b
Sentence: 4,National,e-2-i
Sentence: 4,Can,e-2-i
Sentence: 4,Co.,e-2-i
Sentence: 4,",",o
Sentence: 4,Triangle,o
Sentence: 4,'s,o
Sentence: 4,chief,o
Sentence: 4,asset,o
Sentence: 4,.,o
Sentence: 5,The,e-1-b
Sentence: 5,executives,e-1-i
Sentence: 5,had,o
Sentence: 5,profited,o
Sentence: 5,handsomely,o
Sentence: 5,by,o
Sentence: 5,building,r-b
Sentence: 5,American,o
Sentence: 5,National,o
Sentence: 5,Can,o
Sentence: 5,Co.,o
Sentence: 5,",",o
Sentence: 5,Triangle,e-2-b
Sentence: 5,'s,e-2-i
Sentence: 5,chief,e-2-i
Sentence: 5,asset,e-2-i
Sentence: 5,.,o
Sentence: 6,But,o
Sentence: 6,fully,o
Sentence: 6,90,e-1-b
Sentence: 6,%,e-1-i
